texto,sentimiento,sentiment_label,sentiment_probabilities
"Salgo de VeoTV , que día más largo.",Neutral,1,"[0.0017771206330507994, 0.9982228875160217]"
PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,Neutral,1,"[0.020601743832230568, 0.9793983101844788]"
marodriguezb Gracias MAR,Positivo,1,"[0.00036940202699042857, 0.9996305704116821]"
"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)",Negativo,0,"[0.9980777502059937, 0.0019223017152398825]"
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,Positivo,1,"[0.0003005768230650574, 0.9996994733810425]"
"FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era paurubio.",Neutral,0,"[0.517371654510498, 0.48262834548950195]"
Toca crackoviadeTV3 . Grabación dl especial Navideño.Mari crismas!,Positivo,1,"[0.00026980461552739143, 0.9997301697731018]"
Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.,Neutral,1,"[0.0004372585390228778, 0.999562680721283]"
Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia libertadmontes Hoy podría ser un día para la grandeza humana.,Positivo,1,"[0.0002412233588984236, 0.999758780002594]"
Desde el escaño. Todo listo para empezar endiascomohoy en el Congreso ,Positivo,1,"[0.000615014520008117, 0.9993849992752075]"
Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,Positivo,1,"[0.00107749761082232, 0.9989225268363953]"
"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?",Positivo,1,"[0.001627065590582788, 0.9983729124069214]"
programascambiados caca d ajuste,Negativo,0,"[0.9921895265579224, 0.007810537237673998]"
Buen viernes,Positivo,1,"[0.00029701259336434305, 0.9997029900550842]"
“adri_22_22: programascambiados es TT gracias a Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;),Positivo,1,"[0.0002426334103802219, 0.9997573494911194]"
