texto,sentimiento
"Salgo de VeoTV , que día más largo.",Neutral
PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias,Neutral
marodriguezb Gracias MAR,Positivo
"Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)",Negativo
Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!,Positivo
"FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era paurubio.",Neutral
Toca crackoviadeTV3 . Grabación dl especial Navideño.Mari crismas!,Positivo
Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.,Neutral
Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia libertadmontes Hoy podría ser un día para la grandeza humana.,Positivo
Desde el escaño. Todo listo para empezar endiascomohoy en el Congreso ,Positivo
Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.,Positivo
"Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?",Positivo
programascambiados caca d ajuste,Negativo
Buen viernes,Positivo
“adri_22_22: programascambiados es TT gracias a Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;),Positivo
"Nos días! Me he dormido ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?",Neutral
Vamos a por el viernes ( Ayuntamiento de Málaga) [pic]: ,Neutral
La Universidad confía en De la Calle para encarar sus retos más ambiciosos ,Positivo
¿Me ayudáis a que indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros ,Positivo
abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE ,Negativo
"abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores ",Negativo
La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas,Negativo
Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste HerenciaPSOE,Negativo
Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. SAMUR_PC traslada a Hospital Doce de Octubre vía EmergenciasMad,Negativo
"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. ",Positivo
"FF a ti, que deseas desesperadamente hacerme FF, pero no lo haces por el qué dirán.",Negativo
"Mis FF xa merpastor x volver a sonreír, a GFVara x ser tan autentico, a 24horas_rne x su subidòn y a CarmendelRiego x su victoria",Positivo
Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar sevillahoy,Positivo
FF a RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,Positivo
"""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo""",Neutral
"Open Master Classjaviersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""esadegeoISGLOBALorg ",Neutral
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,Positivo
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,Negativo
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. ,Negativo
No se ha aprobado la ley Sinde,Negativo
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,Neutral
"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡MUCHA SUEE! ",Positivo
"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",Negativo
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.0 cotizantes más y 4.0 desempleados menos.,Neutral
En el blog: Defender la solidaridad ,Neutral
FF de vuelta ;-)) Pepemaras PopularesCyL anamariavielba marmarev ajimnezvelayos jmoreta23 dllanosg c_floriano,Positivo
"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",Negativo
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. PSNPSOE,Neutral
"El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria",Neutral
El post de hoy en mi blog ,Neutral
Me encanta ver por aqui  a TuDNIe ;-)),Positivo
si están por Valencia España les recomiendo esta exposición !! ,Positivo
La gran noche de los abanderados 2.0 - La Opinión de Málaga ,Neutral
“martacerame: maria_rey Amiga!” hola guapa!,Positivo
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,Negativo
"firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas ",Neutral
